year,hospital,mergeid,control,location,teach,bedsize,region
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48136,200048136,0,1,1,3,3
2001,13012,200113012,0,1,1,2,3
2001,19045,200119045,0,1,1,1,2
2001,19136,200119136,0,1,1,3,2
2001,19136,200119136,0,1,1,3,2
2001,19136,200119136,0,1,1,3,2
2001,19136,200119136,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,27108,200127108,0,1,1,3,2
2001,36095,200136095,0,1,1,3,1
2001,36109,200136109,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36125,200136125,0,1,1,3,1
2001,36233,200136233,0,1,1,3,1
2001,36233,200136233,0,1,1,3,1
2001,37003,200137003,2,1,0,3,3
2001,37006,200137006,0,1,1,3,3
2001,37006,200137006,0,1,1,3,3
2001,37006,200137006,0,1,1,3,3
2001,37059,200137059,0,1,1,3,3
2001,37059,200137059,0,1,1,3,3
2001,41064,200141064,0,1,1,3,4
2001,42158,200142158,0,1,1,2,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42201,200142201,0,1,1,3,1
2001,42285,200142285,0,1,1,2,1
2001,42325,200142325,0,1,1,3,1
2001,42325,200142325,0,1,1,3,1
2001,42325,200142325,0,1,1,3,1
2001,42325,200142325,0,1,1,3,1
2001,42325,200142325,0,1,1,3,1
2001,47033,200147033,0,1,1,3,3
2001,47033,200147033,0,1,1,3,3
2001,48020,200148020,0,1,1,2,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48056,200148056,0,1,1,3,3
2001,48099,200148099,3,1,0,3,3
2001,48099,200148099,3,1,0,3,3
2001,48127,200148127,2,1,0,3,3
2001,48185,200148185,0,1,1,3,3
2001,48202,200148202,2,1,0,3,3
2001,48220,200148220,3,1,0,2,3
2002,13018,200213018,2,1,0,3,3
2002,13072,200213072,0,1,1,3,3
2002,19136,200219136,0,1,1,3,2
2002,19136,200219136,0,1,1,3,2
2002,19136,200219136,0,1,1,3,2
2002,19136,200219136,0,1,1,3,2
2002,21062,200221062,0,1,1,2,3
2002,21062,200221062,0,1,1,2,3
2002,24041,200224041,2,0,0,3,3
2002,24068,200224068,0,1,1,2,3
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,27108,200227108,0,1,1,3,2
2002,29066,200229066,0,1,1,1,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,29185,200229185,0,1,1,3,2
2002,34085,200234085,0,1,1,3,1
2002,36133,200236133,0,1,0,3,1
2002,36155,200236155,0,1,1,1,1
2002,37016,200237016,0,1,1,3,3
2002,37016,200237016,0,1,1,3,3
2002,37022,200237022,0,1,1,3,3
2002,37022,200237022,0,1,1,3,3
2002,41008,200241008,0,1,1,3,4
2002,42158,200242158,0,1,1,2,1
2002,42237,200242237,0,1,1,1,1
2002,48020,200248020,0,1,1,2,3
2002,48038,200248038,0,1,1,1,3
2002,48038,200248038,0,1,1,1,3
2002,48038,200248038,0,1,1,1,3
2002,48038,200248038,0,1,1,1,3
2002,48038,200248038,0,1,1,1,3
2002,48038,200248038,0,1,1,1,3
2002,48038,200248038,0,1,1,1,3
2002,48038,200248038,0,1,1,1,3
2002,48041,200248041,1,1,0,2,3
2002,48055,200248055,0,1,1,2,3
2002,48055,200248055,0,1,1,2,3
2002,48247,200248247,0,1,1,3,3
2003,27045,200327045,0,1,1,2,2
2003,29096,200329096,0,1,1,1,2
2003,29096,200329096,0,1,1,1,2
2003,29185,200329185,0,1,1,3,2
2003,29185,200329185,0,1,1,3,2
